Date,LT Composite > 10 Yrs,Treasury 20-Yr CMT,Extrapolation Factor
9/18/15,-0.032258065,-0.040892193,
9/17/15,-0.024475524,-0.021818182,
9/16/15,0.010600707,0.007326007,
9/15/15,0.036630037,0.041984733,
9/14/15,-0.003649635,-0.003802281,
9/11/15,-0.010830325,-0.011278195,
9/10/15,0.010948905,0.007575758,
9/9/15,-0.007246377,-0.007518797,
9/8/15,0.029850746,0.031007752,
9/4/15,-0.02189781,-0.022727273,
9/3/15,-0.007246377,-0.007518797,
9/2/15,0.014705882,0.015267176,
9/1/15,-0.00729927,-0.007575758,
8/31/15,0.011070111,0.011494253,
8/28/15,-0.003676471,0,
8/27/15,-0.00729927,-0.011363636,
8/26/15,0.037878788,0.039370079,
8/25/15,0.047619048,0.049586777,
8/24/15,-0.003952569,-0.008196721,
8/21/15,-0.007843137,-0.004081633,
8/20/15,-0.015444015,-0.016064257,
8/19/15,-0.026315789,-0.02734375,
8/18/15,0.019157088,0.019920319,
8/17/15,-0.003816794,-0.011811024,
8/14/15,-0.003802281,0,
8/13/15,0.011538462,0.007936508,
8/12/15,0.007751938,0.008,
8/11/15,-0.033707865,-0.031007752,
8/10/15,0.026923077,0.023809524,
8/7/15,-0.026217228,-0.027027027,
8/6/15,-0.014760148,-0.018939394,
8/5/15,0.014981273,0.019305019,
8/4/15,0.019083969,0.015686275,
8/3/15,-0.02238806,-0.022988506,
7/31/15,-0.018315018,-0.018796992,
7/30/15,-0.010869565,-0.011152416,
7/29/15,0.010989011,0.011278195,
7/28/15,0.011111111,0.007575758,
7/27/15,-0.010989011,-0.011235955,
7/24/15,-0.003649635,0,
7/23/15,-0.021428571,-0.021978022,
7/22/15,-0.014084507,-0.014440433,
7/21/15,-0.010452962,-0.007168459,
7/20/15,0.007017544,0.007220217,
7/17/15,-0.006968641,-0.014234875,
7/16/15,-0.006920415,-0.007067138,
7/15/15,-0.023648649,-0.024137931,
7/14/15,-0.006711409,-0.006849315,
7/13/15,0.003367003,0.003436426,
7/10/15,0.034843206,0.039285714,
7/9/15,0.039855072,0.040892193,
7/8/15,-0.017793594,-0.018248175,
7/7/15,-0.014035088,-0.014388489,
7/6/15,-0.037162162,-0.04137931,
7/2/15,-0.006711409,-0.006849315,
7/1/15,0.031141869,0.03180212,
6/30/15,0.006968641,0.003546099,
6/29/15,-0.052805281,-0.053691275,
6/26/15,0.030612245,0.034722222,
6/25/15,0.003412969,0.003484321,
6/24/15,-0.016778523,-0.017123288,
6/23/15,0.017064846,0.017421603,
6/22/15,0.039007092,0.039855072,
6/19/15,-0.030927835,-0.034965035,
6/18/15,0.013937282,0.014184397,
6/17/15,0.01056338,0.010752688,
6/16/15,-0.013888889,-0.014134276,
6/15/15,-0.006896552,-0.003521127,
6/12/15,0,0,
6/11/15,-0.03654485,-0.040540541,
6/10/15,0.020338983,0.024221453,
6/9/15,0.013745704,0.01048951,
6/8/15,-0.003424658,-0.003484321,
6/5/15,0.03180212,0.032374101,
6/4/15,-0.030821918,-0.031358885,
6/3/15,0.035460993,0.036101083,
6/2/15,0.02919708,0.029739777,
6/1/15,0.02238806,0.022813688,
5/29/15,-0.003717472,-0.003787879,
5/28/15,0.003731343,0.003802281,
5/27/15,-0.003717472,-0.003787879,
5/26/15,-0.032374101,-0.032967033,
5/22/15,0.003610108,0.007380074,
5/21/15,-0.028070175,-0.028673835,
5/20/15,0.003521127,0,
5/19/15,0.010676157,0.014545455,
5/18/15,0.033088235,0.033834586,
5/15/15,-0.03202847,-0.036231884,
5/14/15,-0.01056338,-0.010752688,
5/13/15,0.014285714,0.014545455,
5/12/15,-0.003558719,-0.003623188,
5/11/15,0.048507463,0.049429658,
5/8/15,-0.003717472,0,
5/7/15,-0.028880866,-0.033088235,
5/6/15,0.029739777,0.03030303,
5/5/15,0.007490637,0.007633588,
5/4/15,0.019083969,0.019455253,
5/1/15,0.031496063,0.032128514,
4/30/15,-0.003921569,0,
4/29/15,0.028225806,0.02892562,
4/28/15,0.024793388,0.025423729,
4/27/15,0,0,
4/24/15,-0.004115226,-0.008403361,
4/23/15,-0.016194332,-0.016528926,
4/22/15,0.033472803,0.038626609,
4/21/15,0.012711864,0.008658009,
4/20/15,0.017241379,0.022123894,
4/17/15,-0.021097046,-0.021645022,
4/16/15,0.004237288,0.004347826,
4/15/15,0.004255319,0.004366812,
4/14/15,-0.016736402,-0.017167382,
4/13/15,0,0,
4/10/15,-0.008298755,-0.008510638,
4/9/15,0.02991453,0.030701754,
4/8/15,0.004291845,0.004405286,
4/7/15,-0.021008403,-0.017316017,
4/6/15,0.034782609,0.03125,
4/3/15,-0.021276596,-0.021834061,
4/2/15,0.026200873,0.02690583,
4/1/15,-0.033755274,-0.034632035,
3/31/15,-0.004201681,-0.004310345,
3/30/15,0.008474576,0.013100437,
