Date,Close/Last,Volume,Open,High,Low
12/1/21,$310.60 ,30384080,$330.29 ,$330.50 ,$310.29 
11/30/21,$324.46 ,25390010,$335.00 ,$335.81 ,$323.43 
11/29/21,$338.03 ,16650950,$336.89 ,$340.67 ,$335.31 
11/26/21,$333.12 ,14750740,$335.80 ,$337.75 ,$331.90 
11/24/21,$341.06 ,13566180,$336.00 ,$341.78 ,$332.81 
11/23/21,$337.25 ,17224990,$338.93 ,$341.40 ,$333.50 
11/22/21,$341.01 ,27116810,$349.05 ,$353.83 ,$340.51 
11/19/21,$345.30 ,26488540,$342.20 ,$352.10 ,$339.90 
11/18/21,$338.69 ,17487240,$339.72 ,$342.46 ,$335.30 
11/17/21,$340.77 ,13602810,$344.24 ,$347.30 ,$340.10 
11/16/21,$342.96 ,18181110,$343.83 ,$346.65 ,$340.87 
11/15/21,$347.56 ,25076600,$344.34 ,$353.65 ,$343.20 
11/12/21,$340.89 ,25414310,$330.18 ,$341.86 ,$329.78 
11/11/21,$327.74 ,12376560,$329.82 ,$332.46 ,$327.00 
11/10/21,$327.64 ,21872610,$332.49 ,$333.19 ,$325.51 
11/9/21,$335.37 ,17556720,$340.00 ,$341.31 ,$334.47 
11/8/21,$338.62 ,18342460,$344.42 ,$344.79 ,$338.34 
11/5/21,$341.13 ,26872820,$340.31 ,$346.79 ,$339.64 
11/4/21,$335.85 ,22495280,$334.01 ,$337.27 ,$332.65 
11/3/21,$331.62 ,20786500,$327.49 ,$332.15 ,$323.20 
11/2/21,$328.08 ,28352970,$331.38 ,$334.79 ,$323.80 
11/1/21,$329.98 ,31518890,$326.04 ,$333.45 ,$326.00 
10/29/21,$323.57 ,37059380,$320.19 ,$326.00 ,$319.60 
10/28/21,$316.92 ,50806840,$312.99 ,$325.52 ,$308.11 
10/27/21,$312.22 ,29971760,$314.19 ,$319.25 ,$312.06 
10/26/21,$315.81 ,65654040,$328.26 ,$330.21 ,$309.60 
10/25/21,$328.69 ,38408960,$320.30 ,$329.56 ,$319.72 
10/22/21,$324.61 ,35224540,$326.35 ,$329.63 ,$321.11 
10/21/21,$341.88 ,16354420,$340.28 ,$342.31 ,$337.80 
10/20/21,$340.78 ,13639470,$343.45 ,$343.98 ,$339.45 
10/19/21,$339.99 ,18786320,$339.65 ,$342.46 ,$337.28 
10/18/21,$335.34 ,21585020,$328.95 ,$335.89 ,$327.50 
10/15/21,$324.76 ,21596370,$328.68 ,$329.07 ,$322.51 
10/14/21,$328.53 ,14302150,$328.36 ,$330.52 ,$327.10 
10/13/21,$324.54 ,14761470,$326.97 ,$327.00 ,$322.66 
10/12/21,$323.77 ,31658680,$323.03 ,$324.38 ,$317.37 
10/11/21,$325.45 ,14708220,$327.63 ,$330.46 ,$325.31 
10/8/21,$330.05 ,15946110,$331.51 ,$333.40 ,$328.71 
10/7/21,$329.22 ,28307460,$337.00 ,$338.84 ,$328.98 
10/6/21,$333.64 ,26443010,$329.74 ,$334.38 ,$325.80 
10/5/21,$332.96 ,35377950,$328.58 ,$335.18 ,$326.16 
10/4/21,$326.23 ,42884980,$335.53 ,$335.94 ,$322.70 
10/1/21,$343.01 ,14905310,$341.61 ,$345.02 ,$338.64 
9/30/21,$339.39 ,16547090,$340.45 ,$342.80 ,$338.15 
9/29/21,$339.61 ,14452240,$343.15 ,$345.23 ,$338.88 
9/28/21,$340.65 ,21710290,$347.97 ,$349.60 ,$338.92 
9/27/21,$353.58 ,15205840,$349.81 ,$355.15 ,$347.08 
9/24/21,$352.96 ,18801930,$343.24 ,$354.35 ,$342.37 
9/23/21,$345.96 ,21806260,$345.36 ,$349.67 ,$343.00 
9/22/21,$343.21 ,43692860,$347.23 ,$349.84 ,$340.69 
9/21/21,$357.48 ,11751920,$358.50 ,$360.04 ,$355.19 
9/20/21,$355.70 ,19822770,$359.30 ,$361.03 ,$349.80 
9/17/21,$364.72 ,26298970,$371.41 ,$371.41 ,$361.59 
9/16/21,$373.06 ,11934220,$372.79 ,$373.56 ,$369.71 
9/15/21,$373.92 ,17940300,$377.00 ,$377.56 ,$367.67 
9/14/21,$376.53 ,8711569,$377.40 ,$378.59 ,$375.11 
9/13/21,$376.51 ,13026280,$381.68 ,$381.75 ,$374.35 
9/10/21,$378.69 ,11549600,$381.36 ,$383.79 ,$378.26 
9/9/21,$378.00 ,9098941,$377.64 ,$379.83 ,$376.57 
9/8/21,$377.57 ,11067170,$380.16 ,$380.87 ,$374.79 
9/7/21,$382.18 ,10798920,$375.88 ,$382.96 ,$373.15 
9/3/21,$376.26 ,7511356,$374.75 ,$377.16 ,$373.11 
9/2/21,$375.28 ,14838270,$381.50 ,$381.75 ,$374.06 
